Tree number,Date,Collected by ,Degrees,Minutes,Seconds,Coordinates (North) Degrees,Degrees,Minutes,Seconds,Coordinates (West) Degrees,Species,Scientific Name,DBH (cm),Notes ,DBH of second stem (cm),Distatance away from tree (m),Clinometer Reading (top of tree),Clinometer Reading (bottom of tree),Tree hight (meters),Tree Condition,Tree exposure to sunlight,Other notes,Phtographed
241,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43292,0,0,39.43292,77.80544,0,0,77.80544,Japanese Maple,Acer palmatum,87,,,25,41,-3.5,23.26123395,Good,Full,Some die back,X
242,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43282,0,0,39.43282,77.8055,0,0,77.8055,White Ash,Fraxinus americana,81.6,,,20,36,-5,16.28062383,Good/Fair,Full,Wire around trunk for nursery school zip line,X
243,7/25/16,"Dr. Lesser, Rodney, Benjamin",39.43271,0,0,39.43271,77.80558,0,0,77.80558,White Ash,Fraxinus americana,106,,,22,38,-5,19.11303438,Good,Full,Wire around trunk for nursery school zip line,X
244,7/26/16,"Rodney, Benjamin",39.43279,0,0,39.43279,77.80488,0,0,77.80488,Crape Myrtle,Lagerstroemia,3.5,Multiple stems,,10,8,-8,2.810816694,Excellent,Full,N/A,X
245,7/26/16,"Rodney, Benjamin",39.43286,0,0,39.43286,77.80482,0,0,77.80482,Crape Myrtle,Lagerstroemia,4.9,Multiple stems,,10,10,-8,3.168678154,Excellent,Full,N/A,X
246,7/26/16,"Rodney, Benjamin",39.43292,0,0,39.43292,77.8048,0,0,77.8048,Crape Myrtle,Lagerstroemia,4.5,Multiple stems,,10,10,-8,3.168678154,Excellent,Full,N/A,X
247,7/26/16,"Rodney, Benjamin",39.43295,0,0,39.43295,77.80476,0,0,77.80476,Crape Myrtle (Natchez),Lagerstroemia,3.8,Multiple stems,,10,9,-8,2.98925275,Excellent,Full,N/A,X
248,7/26/16,"Rodney, Benjamin",39.43326,0,0,39.43326,77.80472,0,0,77.80472,Red Maple,Acer rubrum,13.6,Two trunks,,15,22,-6.5,7.769427512,Good,Full,"One side of the tree is green, the other side is yellowish green",X
249,7/26/16,"Rodney, Benjamin",39.43469,0,0,39.43469,77.80506,0,0,77.80506,Red Spruce,Picea rubens,8.5,,,,,,4,Excellent,Full,N/A,X
250,7/26/16,"Rodney, Benjamin",39.43465,0,0,39.43465,77.80503,0,0,77.80503,Red Spruce,Picea rubens,8.8,,,,,,4,Excellent,Full,N/A,X
251,7/26/16,"Rodney, Benjamin",39.43462,0,0,39.43462,77.80502,0,0,77.80502,Red Spruce,Picea rubens,5,,,,,,3.5,Excellent,Full,N/A,X
252,7/26/16,"Rodney, Benjamin",39.43454,0,0,39.43454,77.80492,0,0,77.80492,Red Oak,Quercus rubra,1.8,,,,,,2.3,Excellent,Full,N/A,X
253,7/26/16,"Rodney, Benjamin",39.43449,0,0,39.43449,77.80489,0,0,77.80489,Eastern Redbud,Cercis canadensis,7.7,,,,,,2.5,Excellent,Partial,N/A,X
254,7/26/16,"Rodney, Benjamin",39.43447,0,0,39.43447,77.80492,0,0,77.80492,Eastern Redbud,Cercis canadensis,10.9,Two trunks,,15,12,-6.5,4.89738255,Excellent,Partial,N/A,X
255,7/26/16,"Rodney, Benjamin",39.43444,0,0,39.43444,77.80492,0,0,77.80492,Fir species,Abies,5,Multiple stems,,,,,2.5,Fair,Partial,Cut off dead branches,X
256,7/26/16,"Rodney, Benjamin",39.43441,0,0,39.43441,77.80488,0,0,77.80488,Serviceberry,Amelanchier,3.2,Multiple stems,,,,,2,Excellent,Full,N/A,X
257,7/26/16,"Rodney, Benjamin",39.43444,0,0,39.43444,77.80507,0,0,77.80507,Chinese Elm,Ulmus parvifolia,11.1,,,10,14,-8,3.898688375,Excellent,Full,N/A,X
258,7/26/16,"Rodney, Benjamin",39.43457,0,0,39.43457,77.80503,0,0,77.80503,Crab Apple,Malus hopa,11.7,,,10,16,-8,4.272862205,Excellent,Full,N/A,X
259,7/27/16,"Dr. Lesser, Benjamin",39.43313,0,0,39.43313,77.80611,0,0,77.80611,Bradford Pear,Pyrus calleryana,89.2,,,20,45,-3,21.04815559,Good,Full,"There is a lean, covered with ivy, right by fence  to private back yard, the tree has been heavily pruned",X
260,7/27/16,"Dr. Lesser, Benjamin",39.43343,0,0,39.43343,77.8064,0,0,77.8064,Black Walnut,Juglans nigra,54.7,,,30,34,2,19.18763242,Excellent,Full,Some pruning has been done,X
261,7/27/16,"Dr. Lesser, Benjamin",39.43357,0,0,39.43357,77.80648,0,0,77.80648,Black Walnut,Juglans nigra,56.7,,,20,49,4,21.60883191,Excellent,Full,N/A,X
262,7/27/16,"Dr. Lesser, Benjamin",39.43359,0,0,39.43359,77.80643,0,0,77.80643,Box Elder,Acer negundo,58.8,,,30,35,4,18.90842179,Excellent,Full,N/A,X
263,7/27/16,"Dr. Lesser, Benjamin",39.43393,0,0,39.43393,77.80652,0,0,77.80652,Cherry,Prunus avium,24.6,Multiple stems,,20,15,-5,7.108757119,Excellent,Full,N/A,X
264,7/27/16,"Dr. Lesser, Benjamin",39.43423,0,0,39.43423,77.80664,0,0,77.80664,Cherry,Prunus avium,10,,,15,10,-6.5,4.353938835,Excellent,Full,N/A,X
265,7/27/16,"Dr. Lesser, Benjamin",39.43467,0,0,39.43467,77.80575,0,0,77.80575,Norway Spruce,Picea abies,74.3,,,30,27,-1,15.80941543,Excellent,Full,Ivy covering trunk,X
266,7/27/16,"Dr. Lesser, Benjamin",39.43475,0,0,39.43475,77.80583,0,0,77.80583,Norway Spruce,Picea abies,62,,,30,24,-1,13.88051251,Excellent,Full,Ivy covering trunk,X
267,7/27/16,"Dr. Lesser, Benjamin",39.43481,0,0,39.43481,77.80587,0,0,77.80587,Eastern Hemlock,Tsuga canadensis,37,,,30,25,1,13.4655778,Excellent,Full,Ivy covering trunk,X
268,7/27/16,"Dr. Lesser, Benjamin",39.4348,0,0,39.4348,77.80586,0,0,77.80586,Eastern Redbud,Cercis canadensis,32.9,,,30,27,1,14.76211154,Excellent,Full,N/A,X
269,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43525,0,0,39.43525,77.80479,0,0,77.80479,Fir species,Abies,11.7,,,15,21,-1,6.019786499,Excellent,Full,N/A,X
270,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43524,0,0,39.43524,77.80472,0,0,77.80472,Fir species,Abies,11.8,,,15,18,-3,5.659912133,Excellent,Full,N/A,X
271,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.4352,0,0,39.4352,77.80467,0,0,77.80467,Syberian elm,Ulmus pumila,15.3,,,14,35,6,8.331446241,Good-Fair,Full,Leaves have been eaten by insects,X
272,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43525,0,0,39.43525,77.80455,0,0,77.80455,Stagehorn Sumacy,Rhus typhina,2.9,Multiple stems,,,,,3,Good,Full,N/a,X
273,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43533,0,0,39.43533,77.80418,0,0,77.80418,Serviceberry,Amelanchier,73,,,20,31,-8,14.82802907,Fair,Full,"Dead branches, mutiple pruning",X
274,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43539,0,0,39.43539,77.80426,0,0,77.80426,Hackberry,Celtis occidentalis,6.5,Multiple stems,,15,5,-4,2.361232132,Excellent,Partial,N/A,X
275,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43542,0,0,39.43542,77.80426,0,0,77.80426,Stagehorn Sumacy,Rhus typhina,2.7,Multiple stems,,,,,2,Excellent,Full,N/A,X
276,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43545,0,0,39.43545,77.80417,0,0,77.80417,Virgina Junapure,Juniperus virginiana,2.5,,,,,,3,Excellent,Full,N/A,X
277,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43562,0,0,39.43562,77.80384,0,0,77.80384,Eastern Hemlock,Tsuga canadensis,4.4,Multiple stems,,10,9,-8,2.98925275,Fair,Full,the tree's leaves are experencing necrosis,X
278,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43558,0,0,39.43558,77.80385,0,0,77.80385,Red Spruce,Picea rubens,5.3,,,10,9,-8,2.98925275,Excellent,Full,N/A,X
279,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43557,0,0,39.43557,77.80388,0,0,77.80388,Fir species,Abies,9.2,,,10,11,-8,3.349211438,Excellent,Full,Poision ivy growing at the base of the trunk,X
280,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43552,0,0,39.43552,77.80411,0,0,77.80411,River Birch,Betula nigra,6.3,,,10,5,-15,3.55437856,Excellent,Full,N/A,X
281,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43552,0,0,39.43552,77.80414,0,0,77.80414,Fir species,Abies,10.8,,,10,21,-8,5.244048697,Excellent,Full,N/A,X
282,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43541,0,0,39.43541,77.80449,0,0,77.80449,Fir species,Abies,5.8,,,10,28,-8,6.722502664,Excellent,Full,Poision ivy growing up the tree trunk,X
283,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43539,0,0,39.43539,77.80453,0,0,77.80453,Fir species,Abies,9.6,,,10,28,-8,6.722502664,Excellent,Full,N/A,X
284,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.4353,0,0,39.4353,77.80467,0,0,77.80467,Fir species,Abies,10.4,,,10,29,-8,6.948498862,Excellent,Full,Poision ivy growing up the tree trunk,X
285,8/1/16,"Dr. Lesser, Rodney, Benjamin",39.43527,0,0,39.43527,77.80471,0,0,77.80471,Fir species,Abies,11.9,,,10,27,-8,6.500662842,Excellent,Full,Ivy on trunk ,X
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
